Retailer,Brand,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Margin,Operating Profit,Sales Method
West Gear,H&M,1106744,11/11/2021,Northeast,New York,New York City,SANDRA shorts,8.46,1,8.46,36.45%,3.08,Outlet
West Gear,H&M,5919742,11/11/2021,West,Washington,Seattle,SANDRA shorts,8.46,1,8.46,34.35%,2.91,Online
Foot Locker,H&M,8128454,11/11/2021,Midwest,Illinois,Chicago,SANDRA shorts,8.46,1,8.46,35.45%,3,In-store
Foot Locker,H&M,4571941,11/11/2021,Midwest,Ohio,Cleveland,Miller slider (1),25.41,1,25.41,45.56%,11.58,Online
Walmart,H&M,1156169,11/11/2021,Midwest,Ohio,Cleveland,Miller slider (1),11.85,1,11.85,28.51%,3.38,In-store
West Gear,H&M,7248944,10/12/2021,South,Texas,Houston,Miller slider (1),11.85,1,11.85,40.63%,4.81,Outlet
Foot Locker,H&M,6126980,10/12/2021,Midwest,Illinois,Chicago,Miller slider (1),11.85,1,11.85,30.30%,3.59,Outlet
Foot Locker,H&M,8770571,10/12/2021,West,Nevada,Las Vegas,Miller slider (1),25.41,1,25.41,38.29%,9.73,Outlet
Foot Locker,H&M,1884257,10/12/2021,South,Georgia,Atlanta,Miller slider (1),25.41,3,76.22,33.78%,25.75,Outlet
Sports Direct,H&M,7214478,10/12/2021,Northeast,Massachusetts,Boston,Miller slider (1),25.41,1,25.41,31.07%,7.89,In-store
West Gear,H&M,8158407,10/12/2021,South,Texas,Houston,Miller slider (1),25.41,1,25.41,32.02%,8.13,Online
West Gear,H&M,3182199,24/1/2021,Midwest,Michigan,Detroit,Miller slider (1),25.27,1,25.27,44.57%,11.26,In-store
Walmart,H&M,8017636,24/1/2021,West,California,Los Angeles,Miller slider (1),24.12,2,48.24,25.20%,12.16,In-store
Foot Locker,H&M,5110882,24/1/2021,Northeast,Massachusetts,Boston,Miller slider (1),25.41,1,25.41,27.42%,6.97,Online
Sports Direct,H&M,6358124,24/1/2021,South,Georgia,Atlanta,Miller slider (1),25.41,1,25.41,27.24%,6.92,Online
West Gear,H&M,5534235,24/1/2021,Midwest,Ohio,Cleveland,Miller slider (1),25.41,2,50.81,34.59%,17.58,In-store
Foot Locker,H&M,2352118,24/1/2021,Northeast,Massachusetts,Boston,Miller slider (1),25.41,2,50.81,25.70%,13.06,In-store
Walmart,H&M,7293891,24/2/2021,Southeast,Tennessee,Nashville,Miller slider (1),22.86,1,22.86,32.61%,7.45,In-store
Sports Direct,H&M,9032624,24/2/2021,Northeast,New York,New York City,Miller slider (1),25.41,1,25.41,30.17%,7.67,Online
West Gear,H&M,3868225,24/2/2021,West,California,Los Angeles,Miller slider (1),25.41,1,25.41,30.86%,7.84,Outlet
Walmart,H&M,7324778,24/2/2021,Southeast,Tennessee,Nashville,Miller slider (1),25.41,1,25.41,32.27%,8.2,Outlet
Foot Locker,H&M,6878627,24/2/2021,Midwest,Michigan,Detroit,Miller slider (1),25.41,2,50.81,34.60%,17.58,Online
Foot Locker,H&M,6224676,24/2/2021,Northeast,Pennsylvania,Philadelphia,Miller slider (1),25.41,1,25.41,34.99%,8.89,Online
Sports Direct,H&M,1729748,23/3/2021,West,Nevada,Las Vegas,Miller slider (1),18.63,1,18.63,40.19%,7.49,Outlet
Walmart,H&M,6278990,23/3/2021,South,Georgia,Atlanta,Miller slider (1),25.41,1,25.41,26.49%,6.73,Outlet
Sports Direct,H&M,6226427,23/3/2021,Southeast,Alabama,Birmingham,Miller slider (1),24.25,1,24.25,36.69%,8.9,In-store
Foot Locker,H&M,4554822,23/3/2021,Northeast,New York,New York City,Miller slider (1),25.41,1,25.41,38.83%,9.86,Online
Walmart,H&M,5716262,23/3/2021,Northeast,New York,New York City,Miller slider (1),25.41,1,25.41,28.27%,7.18,Online
West Gear,H&M,1380616,23/3/2021,Northeast,New York,New York City,Miller slider (1),25.41,1,25.41,44.21%,11.23,Online
West Gear,H&M,4602834,24/4/2021,West,Nevada,Las Vegas,Miller slider (1),25.41,1,25.41,27.44%,6.97,Online
Sports Direct,H&M,7237724,24/4/2021,South,Texas,Houston,Miller slider (1),22.86,1,22.86,31.33%,7.16,Outlet
Sports Direct,H&M,1569655,24/4/2021,West,California,Los Angeles,Miller slider (1),22.86,1,22.86,42.71%,9.77,Outlet
Walmart,H&M,3931405,24/4/2021,Northeast,Massachusetts,Boston,Miller slider (1),25.41,1,25.41,26.07%,6.62,Online
Sports Direct,H&M,6944129,24/4/2021,South,Georgia,Atlanta,Miller slider (1),15.24,1,15.24,32.29%,4.92,In-store
Sports Direct,H&M,6956991,24/4/2021,Southeast,Tennessee,Nashville,Miller slider (1),15.24,1,15.24,45.57%,6.94,Online
West Gear,H&M,5280424,25/5/2021,Northeast,Massachusetts,Boston,Miller slider (1),10.97,2,21.93,40.17%,8.81,Outlet
Sports Direct,H&M,2076709,25/5/2021,South,Texas,Houston,Miller slider (1),13.71,1,13.71,44.85%,6.15,Online
West Gear,H&M,2192171,25/5/2021,South,Texas,Houston,Dagger sandal,33.88,1,33.88,41.55%,14.08,In-store
Foot Locker,H&M,4266233,25/5/2021,Northeast,Pennsylvania,Philadelphia,Dagger sandal,33.88,1,33.88,43.32%,14.68,Online
Foot Locker,H&M,2611113,25/5/2021,Midwest,Illinois,Chicago,Dagger sandal,33.88,1,33.88,48.00%,16.26,In-store
Walmart,H&M,9755256,25/5/2021,Southeast,Alabama,Birmingham,Dagger sandal,33.88,1,33.88,34.24%,11.6,Outlet
Sports Direct,H&M,6040507,24/6/2021,Southeast,Alabama,Birmingham,Dagger sandal,33.88,3,101.64,40.94%,41.61,Online
Sports Direct,H&M,7166270,24/6/2021,Northeast,New York,New York City,Dagger sandal,33.88,2,67.76,43.27%,29.32,Outlet
Sports Direct,H&M,8382010,24/6/2021,West,Washington,Seattle,Dagger sandal,33.88,1,33.88,26.00%,8.81,In-store
West Gear,H&M,5188339,24/6/2021,Southeast,Alabama,Birmingham,Dagger sandal,33.88,1,33.88,45.04%,15.26,Online
West Gear,H&M,1673517,24/6/2021,Southeast,Alabama,Birmingham,Dagger sandal,32.42,2,64.85,32.40%,21.01,Outlet
Sports Direct,H&M,1664862,24/6/2021,South,Georgia,Atlanta,Dagger sandal,33.88,1,33.88,28.28%,9.58,Outlet
West Gear,H&M,7737738,23/7/2021,West,Washington,Seattle,Dagger sandal,33.88,1,33.88,46.71%,15.83,In-store
Foot Locker,H&M,4161963,23/7/2021,Southeast,Florida,Miami,Dagger sandal,29.2,1,29.2,49.91%,14.58,In-store
Foot Locker,H&M,4522507,23/7/2021,Midwest,Michigan,Detroit,Dagger sandal,33.88,1,33.88,33.68%,11.41,In-store
West Gear,H&M,4636822,23/7/2021,Midwest,Michigan,Detroit,Dagger sandal,33.88,1,33.88,28.10%,9.52,In-store
Sports Direct,H&M,4757171,23/7/2021,Midwest,Michigan,Detroit,Dagger sandal,33.88,1,33.88,41.85%,14.18,Outlet
Foot Locker,H&M,3223116,23/7/2021,Southeast,Alabama,Birmingham,Dagger sandal,31.31,1,31.31,32.97%,10.32,In-store
Walmart,H&M,1543420,24/8/2021,Northeast,New York,New York City,Dagger sandal,33.88,2,67.76,26.65%,18.06,Online
Walmart,H&M,5296690,24/8/2021,West,Nevada,Las Vegas,Dagger sandal,27.1,2,54.2,43.12%,23.37,In-store
Foot Locker,H&M,9076579,24/8/2021,Southeast,Alabama,Birmingham,Dagger sandal,33.88,2,67.76,25.84%,17.51,Online
Sports Direct,H&M,4423043,24/8/2021,Southeast,Tennessee,Nashville,Dagger sandal,33.88,1,33.88,31.25%,10.59,Outlet
West Gear,H&M,2887669,24/8/2021,Midwest,Michigan,Detroit,Dagger sandal,33.88,1,33.88,38.34%,12.99,Outlet
Sports Direct,H&M,3033732,24/8/2021,Northeast,Pennsylvania,Philadelphia,Dagger sandal,33.88,1,33.88,38.53%,13.05,Online
Walmart,H&M,2996150,25/9/2021,West,California,Los Angeles,Dagger sandal,33.88,1,33.88,49.64%,16.82,Online
Foot Locker,H&M,4360497,25/9/2021,Northeast,Massachusetts,Boston,Dagger sandal,30.49,1,30.49,46.56%,14.2,In-store
Sports Direct,H&M,8566288,25/9/2021,Midwest,Illinois,Chicago,Dagger sandal,33.88,2,67.76,44.52%,30.17,In-store
Foot Locker,H&M,6962545,25/9/2021,Midwest,Illinois,Chicago,Dagger sandal,33.88,1,33.88,36.78%,12.46,Online
Walmart,H&M,7582726,25/9/2021,West,Washington,Seattle,Dagger sandal,33.36,1,33.36,36.61%,12.21,Online
Sports Direct,H&M,4622117,25/9/2021,Midwest,Ohio,Cleveland,Dagger sandal,33.88,1,33.88,34.72%,11.76,In-store
Sports Direct,H&M,3924495,24/10/2021,Southeast,Alabama,Birmingham,Dagger sandal,32.05,1,32.05,34.17%,10.95,In-store
Sports Direct,H&M,4262088,24/10/2021,Southeast,Florida,Miami,Dagger sandal,33.88,1,33.88,43.68%,14.8,Outlet
West Gear,H&M,4191504,24/10/2021,West,California,Los Angeles,Dagger sandal,33.88,1,33.88,34.08%,11.55,In-store
Walmart,H&M,5533183,24/10/2021,Midwest,Michigan,Detroit,Dagger sandal,33.58,1,33.58,27.39%,9.2,Outlet
Foot Locker,H&M,1129807,24/10/2021,South,Georgia,Atlanta,Dagger sandal,30.15,1,30.15,32.81%,9.89,Online
West Gear,H&M,4390516,24/10/2021,Northeast,Pennsylvania,Philadelphia,Dagger sandal,33.88,1,33.88,35.70%,12.1,Outlet
Sports Direct,H&M,5605497,24/11/2021,South,Louisiana,New Orleans,Dagger sandal,27.1,1,27.1,44.28%,12,In-store
Walmart,H&M,6432880,24/11/2021,West,Washington,Seattle,Connie mule,28.8,1,28.8,38.78%,11.17,In-store
Sports Direct,H&M,3436317,24/11/2021,Northeast,New York,New York City,Connie mule,28.8,2,57.59,27.98%,16.11,In-store
Sports Direct,H&M,2121477,24/11/2021,Northeast,New York,New York City,Connie mule,28.8,1,28.8,40.78%,11.74,In-store
Foot Locker,H&M,8872030,24/11/2021,Midwest,Michigan,Detroit,Connie mule,28.8,1,28.8,40.87%,11.77,Online
Sports Direct,H&M,5165459,24/11/2021,Northeast,Pennsylvania,Philadelphia,Connie mule,28.8,2,57.59,37.95%,21.86,Outlet
Foot Locker,H&M,9968948,23/12/2021,South,Louisiana,New Orleans,Connie mule,28.8,2,57.59,45.90%,26.43,Outlet
Foot Locker,H&M,8588557,23/12/2021,South,Texas,Houston,Connie mule,23.05,1,23.05,25.54%,5.89,In-store
Sports Direct,H&M,3444334,23/12/2021,West,Nevada,Las Vegas,Connie mule,28.8,1,28.8,42.34%,12.19,In-store
Walmart,H&M,7802779,23/12/2021,Northeast,New York,New York City,Connie mule,28.8,1,28.8,37.48%,10.79,Outlet
West Gear,H&M,7636490,23/12/2021,West,Nevada,Las Vegas,Connie mule,28.8,1,28.8,26.83%,7.73,Outlet
Foot Locker,H&M,6066011,23/12/2021,West,California,Los Angeles,Max Shoe,61,1,61,27.99%,17.07,In-store
Sports Direct,H&M,4674088,19/1/2021,Northeast,Pennsylvania,Philadelphia,Max Shoe,67.78,1,67.78,29.71%,20.13,In-store
Sports Direct,H&M,3397843,19/1/2021,Northeast,Massachusetts,Boston,Max Shoe,54.22,2,108.44,42.70%,46.31,Online
Walmart,H&M,7335641,19/1/2021,Northeast,Pennsylvania,Philadelphia,Max Shoe,54.22,2,108.44,40.69%,44.12,In-store
Walmart,H&M,8568986,19/1/2021,South,Louisiana,New Orleans,Max Shoe,67.78,1,67.78,29.77%,20.18,Online
West Gear,H&M,7567725,19/1/2021,Northeast,New York,New York City,Max Shoe,61,1,61,45.56%,27.79,Outlet
Walmart,H&M,6719578,19/1/2021,Midwest,Ohio,Cleveland,Max Shoe,54.22,1,54.22,39.01%,21.15,Outlet
Sports Direct,H&M,7487441,17/2/2021,South,Texas,Houston,Max Shoe,67.78,1,67.78,44.29%,30.02,In-store
Foot Locker,H&M,9691695,17/2/2021,South,Georgia,Atlanta,Max Shoe,67.78,1,67.78,31.89%,21.61,In-store
Sports Direct,H&M,7496304,17/2/2021,West,California,Los Angeles,Max Shoe,61,1,61,29.75%,18.15,Online
Foot Locker,H&M,3175451,17/2/2021,South,Texas,Houston,Max Shoe,18.63,2,37.25,28.82%,10.74,Online
Walmart,H&M,5554944,17/2/2021,Northeast,Massachusetts,Boston,Max Shoe,17.69,2,35.39,44.48%,15.74,Online
West Gear,H&M,1474787,17/2/2021,Northeast,New York,New York City,Max Shoe,17.69,2,35.39,40.21%,14.23,Online
Foot Locker,H&M,4837647,15/3/2021,Northeast,Massachusetts,Boston,Max Shoe,18.63,1,18.63,41.25%,7.68,Online
Walmart,H&M,3852548,15/3/2021,Northeast,New York,New York City,Max Shoe,18.63,2,37.25,32.75%,12.2,In-store
Walmart,H&M,2309493,15/3/2021,Northeast,Pennsylvania,Philadelphia,Max Shoe,18.63,3,55.88,43.30%,24.2,Outlet
Sports Direct,H&M,1423834,15/3/2021,Midwest,Michigan,Detroit,Max Shoe,18.63,1,18.63,46.59%,8.68,Online
West Gear,H&M,8058094,15/3/2021,Midwest,Illinois,Chicago,Max Shoe,18.63,1,18.63,32.28%,6.01,In-store
West Gear,H&M,9301890,15/3/2021,Southeast,Tennessee,Nashville,Max Shoe,17.69,2,35.39,36.53%,12.93,In-store
Sports Direct,H&M,8659015,16/4/2021,West,Nevada,Las Vegas,Max Shoe,18.63,3,55.88,34.52%,19.29,Online
West Gear,H&M,8709902,16/4/2021,West,Nevada,Las Vegas,Max Shoe,18.63,1,18.63,35.10%,6.54,Online
West Gear,H&M,2129675,16/4/2021,South,Texas,Houston,Max Shoe,18.63,3,55.88,27.60%,15.42,Online
Sports Direct,H&M,7685061,16/4/2021,South,Louisiana,New Orleans,Max Shoe,18.63,1,18.63,40.20%,7.49,Online
Walmart,H&M,6271487,16/4/2021,South,Georgia,Atlanta,Max Shoe,18.63,1,18.63,35.56%,6.62,Online
Walmart,H&M,5102495,16/4/2021,Midwest,Illinois,Chicago,Max Shoe,18.63,2,37.25,42.98%,16.01,Online
Sports Direct,H&M,8092396,15/5/2021,West,California,Los Angeles,Max Shoe,43.2,2,86.41,31.15%,26.92,Online
West Gear,H&M,7452139,15/5/2021,West,Nevada,Las Vegas,Max Shoe,18.63,1,18.63,45.50%,8.48,Online
Foot Locker,H&M,8134396,15/5/2021,Southeast,Florida,Miami,Max Shoe,67.78,1,67.78,31.69%,21.48,Outlet
West Gear,H&M,8546313,15/5/2021,Southeast,Alabama,Birmingham,Max Shoe,17.69,2,35.39,34.24%,12.12,Online
West Gear,H&M,7568589,15/5/2021,Northeast,Pennsylvania,Philadelphia,Max Shoe,18.63,1,18.63,41.44%,7.72,In-store
Walmart,H&M,3911145,15/5/2021,Southeast,Florida,Miami,Max Shoe,18.63,1,18.63,48.57%,9.05,In-store
Sports Direct,H&M,9710998,17/6/2021,Midwest,Michigan,Detroit,Max Shoe,18.63,1,18.63,28.82%,5.37,Outlet
Walmart,H&M,9837517,17/6/2021,Midwest,Ohio,Cleveland,Max Shoe,18.63,1,18.63,26.06%,4.85,In-store
Walmart,H&M,2090289,17/6/2021,Southeast,Alabama,Birmingham,Max Shoe,18.63,1,18.63,46.96%,8.75,Outlet
West Gear,H&M,6234334,17/6/2021,West,Washington,Seattle,Max Shoe,17.7,2,35.41,42.53%,15.06,Online
Foot Locker,H&M,3431730,17/6/2021,Southeast,Alabama,Birmingham,Max Shoe,16.02,1,16.02,33.85%,5.42,In-store
West Gear,H&M,7223924,17/6/2021,West,California,Los Angeles,Max Shoe,16.76,1,16.76,27.69%,4.64,In-store
West Gear,H&M,9131463,15/7/2021,South,Texas,Houston,Max Shoe,16.76,1,16.76,37.97%,6.36,In-store
Sports Direct,H&M,4115890,15/7/2021,Northeast,New York,New York City,Max Shoe,15.83,1,15.83,47.50%,7.52,Outlet
Sports Direct,H&M,2061105,15/7/2021,Southeast,Tennessee,Nashville,Max Shoe,67.78,1,67.78,39.79%,26.97,Online
Foot Locker,H&M,1296116,15/7/2021,West,Nevada,Las Vegas,Max Shoe,67.78,1,67.78,26.92%,18.25,Outlet
Walmart,H&M,3583782,15/7/2021,Northeast,New York,New York City,Max Shoe,13.03,1,13.03,47.39%,6.18,In-store
West Gear,H&M,4246604,15/7/2021,South,Georgia,Atlanta,Max Shoe,67.78,1,67.78,27.19%,18.43,Outlet
Foot Locker,H&M,7329266,16/8/2021,Midwest,Michigan,Detroit,Max Shoe,30.86,1,30.86,42.17%,13.01,In-store
West Gear,H&M,9416832,16/8/2021,South,Texas,Houston,Max Shoe,67.78,1,67.78,40.20%,27.25,Online
Sports Direct,H&M,3262834,16/8/2021,South,Louisiana,New Orleans,Max Shoe,33.88,1,33.88,33.13%,11.23,Online
Foot Locker,H&M,4134123,16/8/2021,South,Louisiana,New Orleans,Max Shoe,42.36,1,42.36,26.92%,11.4,Online
Walmart,H&M,6975240,16/8/2021,Southeast,Florida,Miami,Jutha boot,84.73,2,169.46,43.71%,74.08,Online
Sports Direct,H&M,6928220,16/8/2021,Southeast,Tennessee,Nashville,Jutha boot,84.73,1,84.73,32.95%,27.92,In-store
Sports Direct,H&M,3347295,15/9/2021,Northeast,Massachusetts,Boston,Jutha boot,82.41,1,82.41,27.53%,22.69,Online
Walmart,H&M,6963257,15/9/2021,West,Nevada,Las Vegas,Jutha boot,63.54,1,63.54,42.62%,27.08,In-store
Sports Direct,H&M,5369870,15/9/2021,West,California,Los Angeles,Jutha boot,84.73,5,423.64,35.71%,151.26,In-store
West Gear,H&M,8740416,15/9/2021,Southeast,Tennessee,Nashville,Jutha boot,84.73,1,84.73,39.47%,33.45,In-store
Sports Direct,H&M,1647240,15/9/2021,West,Washington,Seattle,Jutha boot,84.73,3,254.19,46.62%,118.5,Outlet
Foot Locker,H&M,5556170,15/9/2021,South,Georgia,Atlanta,Jutha boot,84.73,3,254.19,40.31%,102.47,Online
Walmart,H&M,9778957,17/10/2021,Midwest,Illinois,Chicago,Jutha boot,84.73,1,84.73,45.33%,38.41,In-store
Walmart,H&M,5437965,17/10/2021,South,Texas,Houston,Jutha boot,67.78,1,67.78,49.07%,33.26,Online
Walmart,H&M,5973358,17/10/2021,Southeast,Alabama,Birmingham,Jutha boot,30.51,1,30.51,29.59%,9.03,Online
Foot Locker,H&M,4028224,17/10/2021,Northeast,Pennsylvania,Philadelphia,Jutha boot,67.78,1,67.78,36.07%,24.45,Online
Walmart,H&M,6764866,17/10/2021,South,Louisiana,New Orleans,Jutha boot,50.83,2,101.66,32.27%,32.81,In-store
Walmart,H&M,2163248,17/10/2021,Southeast,Tennessee,Nashville,Jutha boot,50.83,5,254.15,42.06%,106.89,Outlet
West Gear,H&M,2946414,16/11/2021,South,Georgia,Atlanta,Jutha boot,50.83,2,101.66,28.48%,28.95,Online
Sports Direct,H&M,8356279,16/11/2021,South,Georgia,Atlanta,Jutha boot,50.83,2,101.66,40.60%,41.27,Online
Sports Direct,H&M,4257675,16/11/2021,Midwest,Michigan,Detroit,Jutha boot,50.83,3,152.49,27.54%,42,In-store
Walmart,H&M,7538862,16/11/2021,Northeast,Massachusetts,Boston,Jutha boot,50.83,2,101.66,32.30%,32.84,Online
Walmart,H&M,5216175,16/11/2021,South,Texas,Houston,Jutha boot,50.83,1,50.83,25.51%,12.97,In-store
Walmart,H&M,4128422,16/11/2021,Northeast,Pennsylvania,Philadelphia,Jutha boot,50.83,1,50.83,35.80%,18.2,In-store
Walmart,H&M,8258457,15/12/2021,Southeast,Alabama,Birmingham,Jutha boot,50.83,1,50.83,35.47%,18.03,Online
Foot Locker,H&M,6190854,15/12/2021,South,Louisiana,New Orleans,Jutha boot,50.83,1,50.83,33.45%,17,Online
Foot Locker,H&M,2681208,15/12/2021,Southeast,Florida,Miami,Jutha boot,50.83,1,50.83,28.80%,14.64,Online
Sports Direct,H&M,2546099,15/12/2021,Southeast,Tennessee,Nashville,Jutha boot,50.83,1,50.83,49.27%,25.05,Outlet
Sports Direct,H&M,4596081,15/12/2021,South,Louisiana,New Orleans,Jutha boot,48.29,1,48.29,39.11%,18.88,Outlet
Sports Direct,H&M,8785436,15/12/2021,Midwest,Ohio,Cleveland,Madison Mid Heel,33.88,1,33.88,43.77%,14.83,In-store
West Gear,H&M,2951901,18/1/2021,Northeast,Massachusetts,Boston,Madison Mid Heel,33.88,1,33.88,32.34%,10.96,Outlet
Sports Direct,H&M,5663407,18/1/2021,Midwest,Ohio,Cleveland,Madison Mid Heel,33.88,1,33.88,29.41%,9.97,In-store
West Gear,H&M,5684417,18/1/2021,South,Texas,Houston,Madison Mid Heel,33.88,1,33.88,48.81%,16.54,Online
Sports Direct,H&M,8003127,18/1/2021,Midwest,Michigan,Detroit,7pk sneaker fancy,9.14,1,9.14,47.27%,4.32,Online
Sports Direct,H&M,5512076,18/1/2021,Southeast,Tennessee,Nashville,7pk sneaker fancy,3.37,1,3.37,36.99%,1.25,Online
West Gear,H&M,4517393,18/1/2021,South,Georgia,Atlanta,5-p Cecilia shaftless,13.54,2,27.08,44.07%,11.94,In-store
Foot Locker,H&M,1147826,18/2/2021,Southeast,Florida,Miami,5-p Cecilia shaftless,16.93,3,50.8,28.63%,14.54,Outlet
West Gear,H&M,5589793,18/2/2021,Northeast,Massachusetts,Boston,5-p Cecilia shaftless,16.93,1,16.93,48.29%,8.18,In-store
West Gear,H&M,4351438,18/2/2021,Midwest,Ohio,Cleveland,5-p Cecilia shaftless,16.93,1,16.93,41.31%,6.99,In-store
Sports Direct,H&M,2798872,18/2/2021,West,Nevada,Las Vegas,5-p Cecilia shaftless,16.93,1,16.93,36.35%,6.16,Outlet
Walmart,H&M,3533149,18/2/2021,Northeast,New York,New York City,5-p Cecilia shaftless,13.54,1,13.54,28.25%,3.83,Outlet
West Gear,H&M,8102935,18/2/2021,Northeast,Massachusetts,Boston,5-p Cecilia shaftless,16.93,1,16.93,35.20%,5.96,Outlet
West Gear,H&M,2963475,17/3/2021,Northeast,New York,New York City,5-p Cecilia shaftless,15.86,1,15.86,35.19%,5.58,Outlet
Foot Locker,H&M,6105515,17/3/2021,South,Texas,Houston,5-p Cecilia shaftless,16.93,1,16.93,44.70%,7.57,Outlet
Sports Direct,H&M,4859844,17/3/2021,West,Nevada,Las Vegas,5-p Cecilia shaftless,15.85,2,31.69,33.72%,10.69,Online
Walmart,H&M,7686657,17/3/2021,Northeast,Massachusetts,Boston,5-p Cecilia shaftless,15.07,1,15.07,35.43%,5.34,Outlet
Foot Locker,H&M,5711033,17/3/2021,Southeast,Tennessee,Nashville,5-p Cecilia shaftless,13.54,1,13.54,39.42%,5.34,Outlet
West Gear,H&M,2217882,17/3/2021,Northeast,New York,New York City,5-p Cecilia shaftless,16.93,1,16.93,49.98%,8.46,In-store
Foot Locker,H&M,5290917,18/4/2021,Northeast,New York,New York City,5-p Cecilia shaftless,16.93,1,16.93,45.90%,7.77,Outlet
Sports Direct,H&M,7801709,18/4/2021,Southeast,Florida,Miami,5-p Cecilia shaftless,14.39,1,14.39,47.18%,6.79,Outlet
Foot Locker,H&M,4448027,18/4/2021,Southeast,Tennessee,Nashville,5-p Cecilia shaftless,16.93,1,16.93,34.38%,5.82,In-store
West Gear,H&M,2267192,18/4/2021,South,Louisiana,New Orleans,5-p Cecilia shaftless,16.93,1,16.93,28.79%,4.87,Outlet
Foot Locker,H&M,8456299,18/4/2021,South,Texas,Houston,5-p Cecilia shaftless,16.93,1,16.93,27.37%,4.63,In-store
West Gear,H&M,7044441,18/4/2021,Northeast,Pennsylvania,Philadelphia,5-p Cecilia shaftless,16.93,1,16.93,43.04%,7.29,In-store
Walmart,H&M,9937029,19/5/2021,West,California,Los Angeles,5-p Cecilia shaftless,16.93,2,33.86,33.25%,11.26,Outlet
Foot Locker,H&M,9308007,19/5/2021,Northeast,Massachusetts,Boston,5-p Cecilia shaftless,16.93,1,16.93,42.53%,7.2,In-store
West Gear,H&M,6738708,19/5/2021,Midwest,Michigan,Detroit,5-p Cecilia shaftless,16.93,2,33.86,42.22%,14.3,Online
Foot Locker,H&M,6044395,19/5/2021,Midwest,Illinois,Chicago,5-p Cecilia shaftless,5.07,1,5.07,41.60%,2.11,In-store
West Gear,H&M,2117329,19/5/2021,West,California,Los Angeles,5-p Cecilia shaftless,14.39,1,14.39,32.01%,4.61,Online
Sports Direct,H&M,6357369,19/5/2021,West,California,Los Angeles,5-p Cecilia shaftless,16.93,1,16.93,32.64%,5.53,In-store
Foot Locker,H&M,2295076,18/6/2021,Northeast,New York,New York City,5-p Cecilia shaftless,13.54,2,27.08,27.87%,7.55,Outlet
Foot Locker,H&M,2333781,18/6/2021,Midwest,Illinois,Chicago,5-p Cecilia shaftless,16.93,1,16.93,38.84%,6.58,Online
West Gear,H&M,2713558,18/6/2021,Northeast,Pennsylvania,Philadelphia,5-p Cecilia shaftless,14.39,1,14.39,29.42%,4.23,In-store
Walmart,H&M,6595950,18/6/2021,West,Nevada,Las Vegas,5-p Cecilia shaftless,16.93,1,16.93,32.80%,5.55,In-store
West Gear,H&M,2437049,18/6/2021,South,Texas,Houston,5-p Cecilia shaftless,16.93,1,16.93,33.22%,5.62,Online
Walmart,H&M,7928431,18/6/2021,Northeast,Pennsylvania,Philadelphia,5-p Cecilia shaftless,15.24,1,15.24,39.94%,6.09,In-store
Walmart,H&M,1415291,17/7/2021,South,Texas,Houston,5-p Cecilia shaftless,14.39,1,14.39,34.88%,5.02,In-store
Sports Direct,H&M,5655033,17/7/2021,Southeast,Tennessee,Nashville,5-p Cecilia shaftless,2.53,1,2.53,38.13%,0.96,Online
West Gear,H&M,9969936,17/7/2021,Southeast,Florida,Miami,5-p Cecilia shaftless,2.53,1,2.53,35.27%,0.89,Online
Walmart,H&M,1757084,17/7/2021,Northeast,Pennsylvania,Philadelphia,5-p Cecilia shaftless,16.93,1,16.93,26.51%,4.49,In-store
Walmart,H&M,6573183,17/7/2021,South,Georgia,Atlanta,5-p Cecilia shaftless,16.93,1,16.93,28.95%,4.9,Online
Walmart,H&M,8365315,17/7/2021,South,Georgia,Atlanta,5-p Cecilia shaftless,16.93,1,16.93,49.41%,8.37,In-store
Sports Direct,H&M,5033431,18/8/2021,Midwest,Michigan,Detroit,5-p Cecilia shaftless,7.97,1,7.97,27.41%,2.18,Outlet
West Gear,H&M,9209295,18/8/2021,South,Texas,Houston,5-p Cecilia shaftless,4.22,1,4.22,27.71%,1.17,Online
Foot Locker,H&M,6103350,18/8/2021,Southeast,Alabama,Birmingham,5-p Cecilia shaftless,4.23,2,8.46,34.83%,2.95,Outlet
Sports Direct,H&M,8018064,18/8/2021,Northeast,New York,New York City,5-p Cecilia shaftless,7.37,1,7.37,43.29%,3.19,Outlet
West Gear,H&M,6040786,18/8/2021,South,Texas,Houston,5-p Cecilia shaftless,8.46,1,8.46,49.70%,4.2,Outlet
West Gear,H&M,7366390,18/8/2021,West,California,Los Angeles,5-p Cecilia shaftless,13.54,1,13.54,44.32%,6,Outlet
West Gear,H&M,8710792,19/9/2021,Southeast,Alabama,Birmingham,5-p Cecilia shaftless,16.93,1,16.93,31.63%,5.35,Online
West Gear,H&M,9974751,19/9/2021,Southeast,Alabama,Birmingham,5-p Cecilia shaftless,15.24,1,15.24,40.21%,6.13,Outlet
Sports Direct,H&M,9152035,19/9/2021,Southeast,Florida,Miami,5-p Cecilia shaftless,15.24,1,15.24,30.08%,4.58,In-store
Sports Direct,H&M,9722679,19/9/2021,Northeast,Pennsylvania,Philadelphia,5-p Cecilia shaftless,15.66,1,15.66,32.98%,5.17,Outlet
Sports Direct,H&M,9024423,19/9/2021,Northeast,New York,New York City,5-p Cecilia shaftless,16.93,1,16.93,44.62%,7.56,Outlet
